tempo n_acesso
451019 37566
422621 35150
391027 33067
498831 43886
397739 33250
538369 47473
645772 57515
460556 37910
432949 36577
401696 34667
415438 34424
409269 34030
398120 34952
435834 36626
437947 34497
455778 37681
509940 38651
493502 41141
453885 38548
389355 33321
459725 38447
418374 35562
472486 39423
539851 43081
397458 33371
480259 39595
439279 36783
390847 32704
643388 41402
795457 43259
488263 34601
581021 40520
547694 41960
564673 43263
534422 37297
435102 36343
454615 38078
506485 42563
537577 44134
450979 38506
516672 43510
428712 37209
422501 36467
492540 40832
522091 43826
393662 33888
450108 38489
521079 37486
424043 35670
521540 44145
509530 39103
426547 37720
468650 38894
442275 36547
456719 38595
456709 37647
465204 39250
480711 40659
450759 38051
500814 41521
453914 38401
441403 37086
467497 38542
459794 38113
453424 37706
469010 40347
422501 35412
432719 36633
473418 39376
429713 35525
521019 43933
419696 34507
544399 45075
405943 35156
434291 37444
444449 38040
415860 35849
468449 39218
430835 36184
461076 39254
445991 38287
487832 41552
410341 35929
503870 42009
490086 41829
454646 37938
456469 38074
463040 39759
457711 38799
742637 44409
442074 38156
481992 41453
509720 41070
475621 39667
449106 37968
494954 39959
493723 41128
655258 52880
445019 36668
